Model Yr ,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),Eng Displ,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel,Guzzler? ,Air Aspir Method,Air Aspiration Method Desc,Trans,Trans Desc,"Trans, Other",# Gears,Trans Lockup,Trans Creeper Gear,Drive Sys,Drive Desc,Max Ethanol % - Gasoline,Max Biodiesel %,Range1 - Model Type Driving Range - Conventional Fuel,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,Gas Guzzler Exempt (Where Truck = 1975 NHTSA truck definition),Gas Guzzler Exempt Desc (Where Truck = 1975 NHTSA truck definition),2Dr Pass Vol,2Dr Lugg Vol,4Dr Pass Vol,4Dr Lugg Vol,Htchbk Pass Vol,Htchbk Lugg Vol,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,City2 FE (Guide) - Alternative Fuel,Hwy2 Fuel FE (Guide) - Alternative Fuel,Comb2 Fuel FE (Guide) - Alternative Fuel,City2 Unadj FE - Alternative Fuel,Hwy2 Unadj FE - Alternative Fuel,Comb2 Unadj FE - Alternative Fuel,City2 Unrd Adj FE - Alternative Fuel,Hwy2 Unrd Adj FE - Alternative Fuel,Cmb2 Unrd Adj FE - Alternative Fuel, Range2 - Alt Fuel Model Typ Driving Range - Alternative Fuel, Fuel2 Usage - Alternative Fuel, Fuel2 Usage Desc - Alternative Fuel,Fuel2 Unit - Alternative Fuel,Fuel2 Unit Desc - Alternative Fuel,Fuel2 Annual Fuel Cost - Alternative Fuel,City CO2 Rounded Adjusted - Fuel 2,Hwy CO2 Rounded Adjusted - Fuel 2,Comb CO2 Rounded Adjusted - Fuel 2,Fuel2 EPA Calculated Annual Fuel Cost - Alternative Fuel,Descriptor - Model Type (40 Char or less),Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Car/Truck Category - Cash for Clunkers Bill.,Calc Approach Desc,Release Date (gold fill means release date is after 8/2/2012),EPA FE Label Dataset ID, ,Unique Label?,Label Recalc?,Relabel,Relabel Desc,Suppressed?,Police/Emerg?,Comments - Mfr Eng Cnfg,Cyl Deact?,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,Energy Storage Device Desc,"Energy Storage Device,If Other",# Batteries,Battery Type Desc,"Battery Type, If Other",Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Comments,# Capacitors,Regen Braking Type Desc,"Regen Braking Type, If Other","Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,Fuel Cell Desc,Usable H2 Fill Capacity (kg),Fuel Cell Onboard H2 Capacity (kg),HEV-EV Comments,# Drive Motor Gen,Motor Gen Type Desc,"Motor Gen Type, If Other",Rated Motor Gen Power (kW),Fuel Metering Type 1 Desc,Fuel Metering Type 2 Desc,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Stop/Start System (Engine Management System) Code,Stop/Start System (Engine Management System)  Description,Model Type Desc (MFR entered),Charge Depleting Calc Appr Code (PHEVs only),Charge Depleting Calc Appr Desc  (PHEVs only),Charge Sustaining Calc Appr Code  (PHEVs only),Charge Sustaining Calc Appr Desc  (PHEVs only),EPA Calculated Annual Fuel Cost,EPA Calculated Gas Guzzler MPG,MFR Calculated Gas Guzzler MPG ,EPA Calculated Gas Guzzler Indicator (Y or N), ,FE Rating (1-10 rating on Label),GHG Rating (1-10 rating on Label),GHG 1-10 rating on Ethanol (EPA Determined),#1 Smog Rating Test Group,#1 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 1),#1 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 1),SmartWay1 (EPA-derived SmartWay rating for Test Group 1),#2 Smog Rating Test Group,#2 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 2),#2 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 2),SmartWay2 (EPA-derived SmartWay rating for Test Group 2),#3 Smog Rating Test Group,#3 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 3),#3 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 3),SmartWay3 (EPA-derived SmartWay rating for Test Group 3),#4 Smog Rating Test Group,#4 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 4),#4 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 4),SmartWay4 (EPA-derived SmartWay rating for Test Group 4),$ You Save over 5 years (amount saved in fuel costs over 5 years - on label) ,$ You Spend over 5 years (increased amount spent in fuel costs over 5 years - on label) ,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted (as shown on FE Label),CO2-PHEV Composite Rounded Adjusted Combined CO2,240V Charge Time at 240 volts (hours),120V Charge time at 120 Volts (hours),PHEV Total Driving Range (rounded to nearest 10 miles)DISTANCE,City PHEV Composite MPGe,Hwy PHEV Composite MPGe,Comb PHEV Composite MPGe,City Range (miles),Hwy Range (miles),Comb Range as shown on FE Label (miles), ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Volkswagen Group of,Audi,e-tron Sportback,VGA,250,0.0,,Auto(A1),76,78,77,102.3817,105.0195,103.5521,75.7625,77.7144,76.6286,,,,A,Automatic,EV direct drive,1,N,N,A,All Wheel Drive,,,218,EL,Electricity,MPG,miles per gallon,T,Truck,,,,,,,850,850,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 5-cycle label,6/1/2020,27063,,Y,N,,,N,N,,,,,,,,Battery(s),,36,Lithium Ion,,397,240,135.9,Off-Board,,,Electrical Regen Brake,,Both,Y,,,,,2,Other,3 Phase Asynchron Drive Motor,141 and 172,,,,,N,Y,,,N,No,e-tron Sportback,,,,,,,,,,10,10,,LVGAT00.0AZE,10,,,,,,,,,,,,,,,3250,,0,0,0,,10,,,,,,215.9,221.5,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BMW,BMW,I3,BMX,100,0.0,,Auto(A1),124,102,113,177.7,145.5,161.606,124.39,101.85,113.1242,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,153,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,84,15,,,600,600,,,,,,,,,,,,,,,,,,,,,,,3,Subcompact Cars,car,Electric Vehicle 2-cycle label,1/15/2020,26951,,N,N,,,N,N,,,,,,,,Battery(s),,8,Lithium Ion,,352,120,153,On-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,"DC Permanent Magnet, brushless",,125,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,LBMXV00.0I3B,10,,,,,,,,,,,,,,,4500,,0,0,0,,7,,,,,,166.5,136.4,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BMW,BMW,I3s,BMX,101,0.0,,Auto(A1),124,102,113,177.7,145.5,161.606,124.39,101.85,113.1242,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,153,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,84,15,,,600,600,,,,,,,,,,,,,,,,,,,,,,,3,Subcompact Cars,car,Electric Vehicle 2-cycle label,1/15/2020,26952,,N,N,,,N,N,,,,,,,,Battery(s),,8,Lithium Ion,,352,120,153,On-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,"DC Permanent Magnet, brushless",,135,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,LBMXV00.0I3B,10,,,,,,,,,,,,,,,4500,,0,0,0,,7,,,,,,166.5,136.4,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BYD Motors Inc.,BYD,e6,BYD,1,0.0,,Auto(A1),73,71,72,104.5,101.8,103.2675,73.15,71.26,72.2873,,,,A,Automatic,,1,Y,N,F,"2-Wheel Drive, Front",,,187,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,88,16,900,900,,,,,,,,,,,,,,,,,,,,,,,30,Small SUV 2WD,,Electric Vehicle 2-cycle label,8/29/2019,26501, ,Y,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,304,270,138.1,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,,1,"DC Permanent Magnet, brushless",,75,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,LBYDV0000001,10,,,,,,,,,,,,,,,3000,,0,0,0,,5,,,,,,188.7,184.3,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,General Motors,Chevrolet,BOLT EV,GMX,101,0.0,,Auto(AV),127,108,118,181.7,153.8,168,127.19,107.66,117.6,,,,CVT,Continuously Variable,EV,1,N,N,F,"2-Wheel Drive, Front",,,259,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,94,17,,,550,550,,,,,,,,,,,,,,,,,,,,,,,7,Small Station Wagons,car,Electric Vehicle 2-cycle label,9/19/2019,26490, ,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,188.5,153.5,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,,1,Other,AC PERMANENT MAGNET,150,,,,,N,Y,,,N,No,BOLT,,,,,,,,,,10,10,,LGMXV00.0002,10,,,,,,,,,,,,,,,4750,,0,0,0,,10,,,,,,277.7,235.1,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Hyundai,HYUNDAI MOTOR COMPANY,Ioniq Electric,HYX,53,0.0,,Auto(A1),145,121,133,206.6,172.4,189.6685,144.62,120.68,132.768,,,,A,Automatic,Reduction Gear,1,N,N,F,"2-Wheel Drive, Front",,,170,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,96,23,,,500,500,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,10/15/2019,26580, ,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,319,120,112.4,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,PMSM : Permanent Magnet Synchronous Motor IPM : Interior Permanent Magnet,1,Other,PMSM (IPM),100,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,LHYXV00.0P31,10,,,,,,,,,,,,,,,5000,,0,0,0,,5.8,,,,,,183.8,153.3,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Hyundai,HYUNDAI MOTOR COMPANY,Kona Electric,HYX,47,0.0,,Auto(A1),132,108,120,195.5,155.5,175.2176,136.85,108.85,122.6523,,,,A,Automatic,Reduction Gear,1,N,N,F,"2-Wheel Drive, Front",,,258,EL,Electricity,MPG,miles per gallon,T,Truck,,,,,,,550,550,,,,,,,,,,,,,,,,,,,,,,,30,Small SUV 2WD,,Electric Vehicle 2-cycle label,9/1/2019,26400, ,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,356,180,141.3,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,PMSM : Permanent Magnet Synchronous Motor IPM : Interior Permanent Magnet,1,Other,PMSM (IPM),150,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,LHYXV00.0K31,10,,,,,,,,,,,,,,,4750,,0,0,0,,9,,,,,,284.1,226.0,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Jaguar Land Rover L,Jaguar,I-PACE,JLX,590,0.0,,Auto(A1),80,72,76,113.9926,102.8212,108.6721,79.8,71.96,76.0705,,,,A,Automatic,Fixed single speed,1,Y,N,4,4-Wheel Drive,,,234,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,850,850,,,,,,,,,,,,,,,,,,,,,,,31,Small SUV 4WD,,Electric Vehicle 2-cycle label,4/29/2019,25165, ,Y,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,388,222.9,143.4,On-Board,,,Electrical Regen Brake,,Both,N,,,,"There are two electric motors, each rated at 147 kW, one for each axle. These are permanent magnet synchronous motors driven with a three-phase Alternating Current.",2,Other,AC perm magnet synchronous,147,,,,,N,Y,,,N,No,I-PACE,,,,,,,,,,10,10,,LJLXT00.0TZA,10,,,,,,,,,,,,,,,3250,,0,0,0,,13,,,,,,244.8,221.0,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Kia,KIA MOTORS CORPORATION,Niro Electric,KMX,39,0.0,,Auto(A1),123,102,112,175.8,145,160.462,123.06,101.5,112.3234,,,,A,Automatic,Reduction Gear,1,N,N,F,"2-Wheel Drive, Front",,,239,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,97,22,,,600,600,,,,,,,,,,,,,,,,,,,,,,,7,Small Station Wagons,car,Electric Vehicle 2-cycle label,12/18/2019,26704, ,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,356,180,140.4,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,"PMSM : Permanent Magnet Synchronous Motor, IPM : Interior Permanent Magnet",1,Other,PMSM (IPM),150,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,LKMXV00.0L31,10,,,,,,,,,,,,,,,4500,,0,0,0,,9.5,,,,,,259.0,213.6,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Kia,KIA MOTORS CORPORATION,Soul Electric,KMX,9,0.0,,Auto(A1),127,101,114,185.3,145.6,165.0487,127,101,114,,,,A,Automatic,Reduction Gear,1,N,N,F,"2-Wheel Drive, Front",,,243,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,98,23,,,600,600,,,,,,,,,,,,,,,,,,,,,,,7,Small Station Wagons,car,Electric Vehicle 2-cycle label,2/15/2019,25162,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,356,180,140.4,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,PMSM : Permanent Magnet Synchronous Motor IPM : Interior Permanent Magnet,1,Other,PMSM (IPM),201,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,LKMXV00.0B31,10,,,,,,,,,,,,,,,4500,,0,0,0,,9.5,,,,,,268.7,211.1,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
