Unnamed: 0,City_State,Clean_City,Population,Lat,Lng,Number of Stations,Stations per 1k Population
243,"Kansas City, Missouri",Kansas City,481417.0,39.0997265,-94.5785667,363,1.3262176308539944
1311,"Omaha, Nebraska",Omaha,465112.0,41.2565369,-95.93450340000001,45,10.335822222222223
1319,"Lincoln, Nebraska",Lincoln,280849.0,40.813615999999996,-96.7025955,52,5.400942307692308
1524,"St. Louis, Missouri",St. Louis,311273.0,38.6270025,-90.1994042,117,2.6604529914529915
2265,"Jersey City, New Jersey",Jersey City,261746.0,40.7177545,-74.0431435,1178,0.22219524617996603
2820,"Henderson, Nevada",Henderson,291346.0,36.0395247,-114.9817213,232,1.2558017241379311
2838,"Las Vegas, Nevada",Las Vegas,626637.0,36.169941200000004,-115.13982959999998,235,2.6665404255319145
3135,"Newark, New Jersey",Newark,280463.0,40.735657,-74.1723667,1164,0.24094759450171824
3411,"Albuquerque, New Mexico",Albuquerque,559202.0,35.0843859,-106.65042199999999,41,13.639073170731708
3955,"Buffalo, New York",Buffalo,257518.0,42.88644679999999,-78.8783689,144,1.7883194444444444
4321,"Charlotte, North Carolina",Charlotte,841611.0,35.2270869,-80.8431267,271,3.1055756457564576
4439,"New York, New York",New York,8443713.0,40.7127753,-74.0059728,1187,7.113490311710193
5524,"Raleigh, North Carolina",Raleigh,457159.0,35.7795897,-78.6381787,366,1.2490683060109289
5614,"Durham, North Carolina",Durham,264310.0,35.99403289999999,-78.898619,373,0.7086058981233244
5647,"Greensboro, North Carolina",Greensboro,288719.0,36.072635399999996,-79.79197540000001,211,1.3683364928909951
5903,"Toledo, Ohio",Toledo,278193.0,41.6528052,-83.53786740000001,142,1.9591056338028168
6589,"Cincinnati, Ohio",Cincinnati,300357.0,39.103118200000004,-84.5120196,126,2.3837857142857146
6622,"Cleveland, Ohio",Cleveland,387398.0,41.499320000000004,-81.6943605,134,2.891029850746269
6654,"Columbus, Ohio",Columbus,867628.0,39.9611755,-82.99879419999998,235,3.6920340425531917
6919,"Oklahoma City, Oklahoma",Oklahoma City,637284.0,35.4675602,-97.5164276,103,6.1872233009708735
7280,"Tulsa, Oklahoma",Tulsa,402223.0,36.1539816,-95.992775,93,4.3249784946236565
8455,"Portland, Oregon",Portland,639387.0,45.5051064,-122.6750261,486,1.315611111111111
8929,"Pittsburgh, Pennsylvania",Pittsburgh,303587.0,40.44062479999999,-79.9958864,180,1.6865944444444443
10395,"Philadelphia, Pennsylvania",Philadelphia,1575522.0,39.9525839,-75.1652215,436,3.613582568807339
10823,"Nashville-Davidson metropolitan government (balance), Tennessee,None","Nashville-Davidson metropolitan government (balance), Tennessee",660062.0,36.1492583,-86.7575663,275,2.4002254545454544
11420,"Plano, Texas",Plano,284579.0,33.0198431,-96.6988856,612,0.46499836601307193
11449,"Lubbock, Texas",Lubbock,250415.0,33.5778631,-101.85516650000001,6,41.73583333333333
11491,"Memphis, Tennessee",Memphis,653248.0,35.1495343,-90.0489801,76,8.595368421052632
11553,"San Antonio, Texas",San Antonio,1486521.0,29.4241219,-98.4936282,148,10.04406081081081
11678,"Dallas, Texas",Dallas,1318806.0,32.7766642,-96.7969879,615,2.1444
11728,"El Paso, Texas",El Paso,680354.0,31.7618778,-106.48502169999999,47,14.475617021276596
11734,"Houston, Texas",Houston,2295982.0,29.7604267,-95.36980279999999,367,6.25608174386921
12123,"Corpus Christi, Texas",Corpus Christi,324692.0,27.800582799999997,-97.396381,25,12.987680000000001
12541,"Laredo, Texas",Laredo,257575.0,27.5035613,-99.50755190000001,3,85.85833333333333
12553,"Fort Worth, Texas",Fort Worth,855786.0,32.7554883,-97.3307658,599,1.4286911519198664
12570,"Austin, Texas",Austin,935755.0,30.267153000000004,-97.7430608,384,2.436861979166667
12978,"Virginia Beach, Virginia",Virginia Beach,450135.0,36.8529263,-75.97798499999998,164,2.7447256097560975
13339,"Arlington, Texas",Arlington,392462.0,32.735687,-97.1080656,619,0.6340258481421648
13795,"Seattle, Washington",Seattle,708823.0,47.6062095,-122.33207079999998,660,1.0739742424242424
14976,"Madison, Wisconsin",Madison,252086.0,43.07305170000001,-89.4012302,106,2.378169811320755
15595,"Milwaukee, Wisconsin",Milwaukee,596886.0,43.0389025,-87.9064736,123,4.852731707317073
16094,"San Juan zona urbana, Puerto Rico,None","San Juan zona urbana, Puerto Rico",331165.0,18.465539399999997,-66.1057355,3,110.38833333333334
16448,"Anchorage municipality, Alaska,None","Anchorage municipality, Alaska",296112.0,61.2180556,-149.90027780000003,2,148.056
17384,"Mesa, Arizona",Mesa,491194.0,33.4151843,-111.83147240000001,529,0.9285330812854443
17389,"Phoenix, Arizona",Phoenix,1610071.0,33.4483771,-112.07403729999999,528,3.0493768939393937
17477,"Tucson, Arizona",Tucson,539216.0,32.2226066,-110.9747108,91,5.92545054945055
18494,"Stockton, California",Stockton,306283.0,37.9577016,-121.29077959999998,841,0.3641890606420928
18500,"Long Beach, California",Long Beach,468883.0,33.770050399999995,-118.1937395,2887,0.16241184620713542
18591,"Bakersfield, California",Bakersfield,375699.0,35.3732921,-119.0187125,55,6.830890909090909
18717,"Chula Vista, California",Chula Vista,266468.0,32.6400541,-117.0841955,690,0.38618550724637685
18850,"Riverside, California",Riverside,323935.0,33.9806005,-117.3754942,1623,0.19959026494146642
18899,"San Diego, California",San Diego,1401932.0,32.715738,-117.1610838,700,2.00276
19063,"Anaheim, California",Anaheim,349668.0,33.8365932,-117.91430120000001,2960,0.11813108108108109
19104,"Fresno, California",Fresno,522277.0,36.737798100000006,-119.78712469999999,217,2.4068064516129035
19134,"Oakland, California",Oakland,421042.0,37.804351399999994,-122.27116389999999,1935,0.21759276485788112
19318,"Aurora, Colorado",Aurora,363550.0,39.729431899999994,-104.8319195,565,0.6434513274336283
19416,"Colorado Springs, Colorado",Colorado Springs,457502.0,38.8338816,-104.82136340000001,89,5.1404719101123595
19480,"Denver, Colorado",Denver,693417.0,39.739235799999996,-104.990251,551,1.258470054446461
19797,"Irvine, California",Irvine,265502.0,33.6845673,-117.82650490000002,2764,0.09605716353111433
19803,"San Jose, California",San Jose,1026658.0,37.338208200000004,-121.88632859999998,1747,0.5876691471093303
19805,"San Francisco, California",San Francisco,870044.0,37.7749295,-122.4194155,1919,0.45338405419489314
19843,"Sacramento, California",Sacramento,495011.0,38.5815719,-121.49439960000001,615,0.8048959349593496
19929,"Santa Ana, California",Santa Ana,333499.0,33.7454725,-117.867653,2837,0.1175534014804371
20022,"Los Angeles, California",Los Angeles,3959657.0,34.0522342,-118.24368490000002,2963,1.3363675329058387
20140,"Miami, Florida",Miami,451214.0,25.7616798,-80.1917902,474,0.951928270042194
20160,"St. Petersburg, Florida",St. Petersburg,259041.0,27.767600800000004,-82.64029149999998,371,0.6982237196765498
20313,"Orlando, Florida",Orlando,275690.0,28.5383355,-81.3792365,445,0.6195280898876404
20342,"Tampa, Florida",Tampa,376345.0,27.950575,-82.4571776,371,1.0144070080862535
20911,"Washington, District of Columbia",Washington,684498.0,38.9038855,-77.0106021,1111,0.6161098109810982
