City_State,Clean_City,Population,Lat,Lng,Max Temp,Min Temp
"Kansas City, Missouri",Kansas City,481417.0,39.0997265,-94.5785667,64.99,64.0
"Omaha, Nebraska",Omaha,465112.0,41.2565369,-95.9345034,63.0,60.8
"Lincoln, Nebraska",Lincoln,280849.0,40.813616,-96.7025955,64.99,60.8
"St. Louis, Missouri",St. Louis,311273.0,38.6270025,-90.1994042,66.2,61.0
"Albuquerque, New Mexico",Albuquerque,559202.0,35.0843859,-106.650422,68.0,63.0
"Cleveland, Ohio",Cleveland,387398.0,41.49932,-81.6943605,64.4,60.01
"Oklahoma City, Oklahoma",Oklahoma City,637284.0,35.4675602,-97.5164276,69.8,64.0
"Tulsa, Oklahoma",Tulsa,402223.0,36.1539816,-95.992775,69.8,66.0
"Portland, Oregon",Portland,639387.0,45.5051064,-122.6750261,66.2,63.0
"Plano, Texas",Plano,284579.0,33.0198431,-96.6988856,68.0,63.0
"Lubbock, Texas",Lubbock,250415.0,33.5778631,-101.8551665,75.0,73.4
"San Antonio, Texas",San Antonio,1486521.0,29.4241219,-98.4936282,75.2,70.0
"Dallas, Texas",Dallas,1318806.0,32.7766642,-96.7969879,68.0,64.0
"El Paso, Texas",El Paso,680354.0,31.7618778,-106.4850217,78.8,75.0
"Houston, Texas",Houston,2295982.0,29.7604267,-95.3698028,71.01,68.0
"Corpus Christi, Texas",Corpus Christi,324692.0,27.8005828,-97.396381,73.99,72.0
"Fort Worth, Texas",Fort Worth,855786.0,32.7554883,-97.3307658,69.01,66.0
"Austin, Texas",Austin,935755.0,30.267153000000004,-97.7430608,73.4,64.99
"Arlington, Texas",Arlington,392462.0,32.735687,-97.10806559999999,69.01,66.0
"Milwaukee, Wisconsin",Milwaukee,596886.0,43.0389025,-87.9064736,66.2,62.01
"Stockton, California",Stockton,306283.0,37.9577016,-121.29077959999998,78.8,73.0
"Long Beach, California",Long Beach,468883.0,33.770050399999995,-118.1937395,75.0,69.01
"Bakersfield, California",Bakersfield,375699.0,35.3732921,-119.0187125,77.0,77.0
"Chula Vista, California",Chula Vista,266468.0,32.6400541,-117.0841955,77.0,71.01
"San Diego, California",San Diego,1401932.0,32.715738,-117.1610838,78.01,68.0
"Anaheim, California",Anaheim,349668.0,33.8365932,-117.9143012,79.0,71.01
"Fresno, California",Fresno,522277.0,36.737798100000006,-119.7871247,78.8,73.99
"Oakland, California",Oakland,421042.0,37.8043514,-122.2711639,64.4,60.01
"Aurora, Colorado",Aurora,363550.0,39.7294319,-104.8319195,66.99,63.0
"Denver, Colorado",Denver,693417.0,39.7392358,-104.990251,66.99,62.01
"Irvine, California",Irvine,265502.0,33.6845673,-117.82650490000002,75.99,70.0
"San Jose, California",San Jose,1026658.0,37.3382082,-121.88632859999998,73.4,68.0
"Sacramento, California",Sacramento,495011.0,38.5815719,-121.4943996,78.8,75.2
"Santa Ana, California",Santa Ana,333499.0,33.7454725,-117.867653,79.0,71.01
"Miami, Florida",Miami,451214.0,25.7616798,-80.1917902,79.0,77.0
"Orlando, Florida",Orlando,275690.0,28.5383355,-81.3792365,73.4,70.0
"Tampa, Florida",Tampa,376345.0,27.950575,-82.4571776,75.2,68.0
"Jacksonville, Florida",Jacksonville,878907.0,30.3321838,-81.65565099999998,73.0,66.99
"Chicago, Illinois",Chicago,2718555.0,41.8781136,-87.62979820000002,69.01,64.99
"New Orleans, Louisiana",New Orleans,389648.0,29.95106579999999,-90.0715323,66.2,63.0
"Detroit, Michigan",Detroit,677155.0,42.33142700000001,-83.0457538,64.4,60.8
